customer_id,age,gender,city,employment_type,income,loan_amount,loan_tenure_months,interest_rate,credit_score,existing_loans,default_history,collateral_value,loan_purpose,loan_date,loan_status,debt_to_income_ratio,monthly_emi,risk_flag
CUST_00001,27,Female,Jaipur,Self-Employed,183764.52,176061.31,48,7.85,618,0,1,0,Vehicle,12-02-2022,Approved,0.958081081,4285.79,Medium Risk
CUST_00002,49,Female,Mumbai,Self-Employed,716351.76,1150270.68,24,15.18,700,0,1,0,Business,29-07-2021,Defaulted,1.605734423,? 55871.19,Medium Risk
CUST_00003,50,Male,Pune,Salaried,1740740.42,164260.29,36,16.62,584,1,0,0,Home,04-04-2021,Approved,0.094362312,? 5825.31,Medium Risk
CUST_00004,35,Female,Pune,Self-Employed,1480049.05,453061.72,84,16.68,519,0,0,0,Home,01-06-2024,Approved,0.306112639,? 9175.09,Medium Risk
CUST_00005,61,Female,Hyderabad,Salaried,716178.57,1042690.66,120,15.95,638,0,0,0,Personal,03-07-2022,Defaulted,1.455908769,? 17433.96,Medium Risk
CUST_00006,41,Male,Kolkata,Unemployed,191795.01,623666.26,84,12.55,536,0,1,0,Business,12-04-2024,Defaulted,3.251733504,? 11193.69,High Risk
CUST_00007,52,Male,Mumbai,Salaried,915393.95,1298599.22,24,14.4,743,2,0,825076.64,Personal,20-12-2023,Approved,1.418623337,? 62595.16,Low Risk
CUST_00008,64,Female,Jaipur,Salaried,1902132.46,1138772.81,120,14.55,699,0,0,1912250.26,Business,23-10-2023,Approved,0.598682181,? 18059.84,Low Risk
CUST_00009,53,Female,Bengaluru,Salaried,480898.4,592175.09,24,13.43,591,2,0,715896.51,Home,18-08-2021,Approved,1.231393346,? 28272.84,Medium Risk
CUST_00010,40,Male,Hyderabad,Self-Employed,1272748.46,1323113.92,12,8.44,493,1,1,0,Education,20-09-2021,Approved,1.039572203,? 115364.95,High Risk
CUST_00011,34,Female,Hyderabad,Unemployed,91281.74,1083776.01,48,18.45,398,1,0,329907.97,Education,12-05-2021,Defaulted,11.87286756,? 32091.33,Medium Risk
CUST_00012,35,Male,Mumbai,Salaried,691195.05,381965.59,12,16.96,681,0,1,0,Education,10-01-2024,Defaulted,0.552616212,? 34829.83,Medium Risk
CUST_00013,47,Male,Delhi,Unemployed,192760.77,1005524.99,36,12.16,364,1,0,0,Home,05-05-2021,Defaulted,5.216439995,? 33474.71,Medium Risk
CUST_00014,36,Male,Jaipur,Salaried,1764843.31,700489.64,48,9.52,723,1,0,1635242.26,Vehicle,20-07-2021,Rejected,0.396913219,? 17605.19,Low Risk
CUST_00015,36,Male,Kolkata,Unemployed,259006.9,747969.71,120,11.91,721,0,0,0,Business,21-07-2023,Defaulted,2.887837004,? 10692.31,Low Risk
CUST_00016,56,Female,Kolkata,Self-Employed,1136182.18,274455.4,36,9.89,585,0,0,695849.14,Home,11-04-2024,Approved,0.241559325,? 8841.74,Medium Risk
CUST_00017,32,Male,Delhi,Unemployed,182781.53,1029058.2,24,11.94,620,3,0,0,Home,22-06-2024,Defaulted,5.629990076,? 48412.51,Medium Risk
CUST_00018,41,Female,Hyderabad,Self-Employed,913056.35,1021102.66,36,10.13,671,1,0,700736.67,Home,20-01-2021,Approved,1.118334767,? 33010.47,Low Risk
CUST_00019,37,Male,Chennai,Unemployed,299024.11,1327253.05,24,11.56,575,0,0,0,Vehicle,01-09-2024,Approved,4.438615502,? 62206.04,Medium Risk
CUST_00020,63,Male,Bengaluru,Self-Employed,898713.08,433475.59,12,15.67,660,0,1,751472.55,Business,02-11-2023,Approved,0.482329232,? 39261.95,Medium Risk
CUST_00021,38,Male,Chennai,Unemployed,261525.93,1168122.87,84,18.28,599,0,0,0,Vehicle,20-01-2021,Defaulted,4.466566164,? 24743.50,Medium Risk
CUST_00022,30,Male,Chennai,Unemployed,222754.91,894638.87,24,12.23,571,0,0,0,Home,03-01-2023,Defaulted,4.016247588,? 42209.91,Medium Risk
CUST_00023,47,Female,Bengaluru,Salaried,474749.16,1392357.54,24,17.01,731,4,0,0,Home,03-01-2022,Approved,2.932827812,? 68848.00,Low Risk
CUST_00024,63,Female,Hyderabad,Salaried,1882387.01,436868.28,120,15.21,536,1,1,479188.38,Personal,18-12-2022,Defaulted,0.232082073,? 7104.50,High Risk
CUST_00025,42,Male,Delhi,Self-Employed,457253.91,1451989.2,36,11.36,694,1,0,0,Business,26-02-2021,Defaulted,3.175454968,? 47784.19,Low Risk
CUST_00026,37,Male,Lucknow,Unemployed,94641.95,680117.45,84,16.15,528,1,0,1809058.99,Education,06-06-2022,Defaulted,7.186215521,? 13566.70,Medium Risk
CUST_00027,63,Male,Pune,Salaried,1183864.59,151462.03,84,17.63,742,1,0,1810088.99,Vehicle,26-09-2022,Approved,0.127938644,? 3150.64,Low Risk
CUST_00028,56,Male,Pune,Salaried,1485254.3,1014147.68,48,14.95,585,3,0,1141080.7,Home,15-09-2022,Rejected,0.682810802,? 28198.79,Medium Risk
CUST_00029,49,Female,Jaipur,Salaried,1285974.13,736119.97,120,15.6,649,2,1,0,Vehicle,18-11-2022,Defaulted,0.572422067,? 12148.11,Medium Risk
CUST_00030,40,Male,Hyderabad,Unemployed,108717.15,263663.25,12,10.19,436,1,0,887437.92,Vehicle,03-02-2022,Approved,2.42522224,? 23203.49,Medium Risk
CUST_00031,27,Female,Hyderabad,Salaried,979409.87,305035.69,84,13.2,773,0,0,0,Personal,01-10-2021,Approved,0.311448454,? 5582.42,Low Risk
CUST_00032,59,Male,Kolkata,Self-Employed,1483654.81,938345.87,84,17.31,752,1,0,402400.02,Personal,11-07-2023,Rejected,0.632455652,? 19344.33,Low Risk
CUST_00033,61,Male,Kolkata,Salaried,1384024.44,162350.86,36,10.08,709,0,0,386578.25,Personal,22-11-2024,Approved,0.117303463,? 5244.71,Low Risk
CUST_00034,42,Male,Pune,Salaried,1005275.42,140285.28,120,12.12,603,3,0,0,Vehicle,19-02-2023,Approved,0.1395491,? 2022.43,Medium Risk
